"Age","Gender","Grade","Duration of studying English","Writing Proficiency","Use of Context Clues","Encountering Unfamiliar Words","Confidence in Vocabulary","Frequency of Writing Outside Academics","Effectiveness of Teaching Methods","Introduction of New Vocabulary","Vocabulary for Language Skills","Importance of Vocabulary","Challenge of Essay Writing","Confidence in Vocabulary Assessments","Frequency of Vocabulary Quizzes","Analyzing Model Essays","Learning in Thematic Groups","Use of Mnemonic Devices","Challenge of Context and Usage","Quality of Resources","Enhancement by Rich Vocabulary","Accessibility of Resources","Impact of Limited Vocabulary","Real-life Application Opportunities"
"25-29","female",12,"2 years",1,1,3,1,1,1,4,1,4,2,4,2,1,2,4,4,2,1,2,4,4
"20-24","male",9,"1 year",3,3,5,3,3,3,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3
"15-19","male",11,"3 years",1,3,1,2,2,2,1,5,4,1,1,5,4,5,1,1,5,4,5,1,1
"20-24","female",9,"1 year",5,5,4,3,3,3,1,4,4,2,3,3,4,3,1,3,3,4,3,1,3
"20-24","male",12,"2 years",2,1,2,2,2,2,1,3,1,3,2,3,5,3,1,2,3,5,3,1,2
"25-29","female",10,"3 years",3,4,3,1,1,1,4,1,3,4,3,4,1,4,4,3,4,1,4,4,3
"15-19","male",11,"3 years",1,2,4,4,4,4,1,3,4,4,2,3,4,3,1,2,3,4,3,1,2
"20-24","female",9,"3 years",5,3,4,4,4,4,3,3,2,5,1,2,4,2,3,1,2,4,2,3,1
"25-29","male",9,"3 years",2,4,3,3,3,3,1,2,4,5,4,3,2,3,1,4,3,2,3,1,4
"15-19","female",9,"3 years",4,4,1,5,4,5,5,2,3,3,4,4,2,4,5,4,4,2,4,5,4
"20-24","male",11,"2 years",3,4,3,3,4,3,3,4,5,4,5,5,3,5,3,5,5,3,5,3,5
"25-29","male",11,"1 year",5,3,2,3,5,3,3,3,3,4,4,1,1,1,3,4,1,1,1,3,4
"20-24","male",12,"2 years",1,3,3,4,1,4,3,4,2,5,4,1,4,1,3,4,1,4,1,3,4
"25-29","male",9,"1 year",4,3,2,3,4,3,4,4,4,3,1,4,5,4,4,1,4,5,4,4,1
"15-19","male",12,"3 years",2,4,1,2,4,2,3,4,4,1,3,3,3,3,3,3,3,3,3,3,3
"25-29","female",12,"3 years",3,4,4,3,2,3,1,5,5,4,2,3,3,3,1,2,3,3,3,1,2
"15-19","female",12,"2 years",5,1,4,4,2,4,5,"",4,1,1,5,4,5,5,1,5,4,5,5,1
"15-19","male",11,"1 year",5,5,5,5,3,5,5,3,4,2,1,2,5,3,4,2,1,2,5,3,4
"15-19","male",10,"1 year",2,2,4,1,1,1,2,4,3,3,3,3,2,4,3,3,3,3,2,4,3
"15-19","female",9,"1 year",3,5,4,1,4,1,4,4,1,5,4,5,4,4,1,5,4,5,4,4,1
"20-24","female",9,"2 years",1,3,1,4,5,4,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3
"20-24","female",10,"3 years",4,4,3,3,3,3,5,3,2,3,5,3,5,3,2,3,5,3,5,3,2
"25-29","female",10,"3 years",4,1,2,3,3,3,1,3,3,4,1,4,1,3,3,4,1,4,1,3,3
"25-29","Male",9,"1 year",3,3,1,5,4,5,4,3,2,3,4,3,4,3,2,3,4,3,4,3,2
"25-29","female",9,"1 year",2,4,1,2,4,3,2,4,1,2,4,2,2,4,1,2,4,2,2,4,1
"15-19","male",12,"2 years",3,4,4,3,2,2,3,4,4,3,2,3,3,4,4,3,2,3,3,4,4
"15-19","male",10,"3 years",5,1,4,4,2,3,5,1,4,4,2,4,5,1,4,4,2,4,5,1,4
"15-19","female",11,"3 years",5,5,5,5,3,3,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5
"15-19","male",9,"3 years",2,2,4,1,1,3,2,2,4,1,1,1,2,2,4,1,1,1,2,2,4
"15-19","female",9,"3 years",3,5,4,1,4,2,3,5,4,1,4,1,3,5,4,1,4,1,3,5,4
"15-19","male",9,"3 years",1,3,1,4,5,1,1,3,1,4,5,4,1,3,1,4,5,4,1,3,1
"15-19","female",11,"2 years",4,4,3,3,3,4,4,4,3,3,3,3,4,4,3,3,3,3,4,4,3
"20-24","male",11,"1 year",4,1,2,3,3,4,4,1,2,3,3,3,4,1,2,3,3,3,4,1,2
"15-19","female",12,"2 years",3,3,1,5,4,3,3,3,1,5,4,5,3,3,1,5,4,5,3,3,1
"15-19","male",9,"1 year",5,5,5,5,2,4,1,2,4,3,4,2,1,2,4,1,2,4,4,2,""
"15-19","male",12,"3 years",2,2,2,2,3,4,4,3,2,5,3,3,3,3,3,3,3,3,3,3,2
"15-19","male",12,"3 years",4,3,3,4,5,1,4,4,2,1,1,5,4,5,1,4,5,1,1,5,3
"15-19","male",12,"2 years",3,5,5,3,5,5,5,5,3,3,3,3,4,3,1,4,3,1,3,3,5
"20-24","male",11,"1 year",5,3,3,5,2,2,4,1,1,2,2,3,5,3,1,5,3,1,2,3,3
"20-24","female",10,"1 year",1,3,3,1,3,5,4,1,4,2,3,4,1,4,4,1,4,4,3,4,3
"15-19","female",9,"1 year",4,4,4,4,1,3,1,4,5,4,2,3,4,3,1,4,3,1,2,3,4
"15-19","male",9,"2 years",2,3,3,2,4,4,3,3,3,5,1,2,4,2,3,4,2,3,1,2,3
"15-19","male",10,"3 years",3,2,2,3,4,1,2,3,3,4,4,3,2,3,1,2,3,1,4,3,2
"25-29","female",10,"3 years",5,3,3,5,3,3,1,5,4,1,4,4,2,4,5,2,4,5,4,4,3
"25-29","female",9,"1 year",5,4,4,5,5,3,4,2,1,1,5,5,3,5,3,3,5,3,5,5,4
"25-29","female",9,"1 year",2,5,5,2,2,4,3,3,3,3,4,1,1,1,3,1,1,3,4,1,5
"15-19","female",12,"2 years",3,1,1,3,4,4,1,5,4,2,4,1,4,1,3,4,1,3,4,1,1
"15-19","Female",10,"3 years",1,1,1,1,3,4,3,3,4,5,1,4,5,4,4,5,4,4,1,4,1
"20-24","female",11,"3 years",4,4,4,4,5,3,4,3,1,3,3,3,3,3,3,3,3,3,3,3,4
"20-24","male",9,"3 years",4,3,3,4,1,1,5,4,2,5,2,3,3,3,1,3,3,1,2,3,3
"25-29","male",9,"3 years",3,3,3,3,2,4,1,2,4,2,1,5,4,5,5,4,5,5,1,5,3
"20-24","female",9,"3 years",5,5,5,5,3,4,4,3,2,3,4,2,1,2,4,4,2,1,2,4,5
"15-19","male",11,"2 years",2,2,2,2,5,1,4,4,2,5,3,3,3,3,3,3,3,3,3,3,2
"20-24","female",11,"1 year",4,3,3,4,5,5,5,5,3,3,1,5,4,5,1,1,5,4,5,1,3
"20-24","male",12,"2 years",3,5,5,3,2,2,4,1,1,3,3,3,4,3,1,3,3,4,3,1,5
"25-29","female",9,"1 year",5,3,3,5,3,5,4,1,4,4,2,3,5,3,1,2,3,5,3,1,3
"15-19","male",12,"3 years",1,3,3,1,1,3,1,4,5,3,3,4,1,4,4,3,4,1,4,4,3
"20-24","female",12,"3 years",4,4,4,4,4,4,3,3,3,2,2,3,4,3,1,2,3,4,3,1,4
"25-29","male",12,"2 years",2,3,3,2,4,1,2,3,3,3,1,2,4,2,3,1,2,4,2,3,3
"15-19","male",11,"1 year",3,2,2,3,3,3,1,5,4,4,4,3,2,3,1,4,3,2,3,1,2
